Geneid	3671306	3671307	3671308	3671309	3671310	3671311	3671312	3671313	3671314
DDX11L1	0	0	0	0	0	0	0	0	0
WASH7P	9	23	12	17	11	17	24	8	14
MIR6859-1	4	0	0	3	0	4	2	0	0
MIR1302-2HG	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0
LOC100996442	5	1	1	3	0	5	8	3	0
LOC729737	2	0	0	2	3	11	2	2	2
DDX11L17	1	0	0	4	0	1	0	1	0
WASH9P	5	10	15	29	12	28	26	1	19
MIR6859-2	0	0	0	0	0	0	0	0	0
LOC107985721	0	0	0	0	0	0	0	0	0
LOC112268260	1	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	2	0	0
LOC105378947	0	0	0	0	0	1	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0
MIR12136	1	4	0	2	1	2	0	1	0
OR4F16	0	0	0	0	0	0	0	0	0
LOC100288069	21	4	5	13	9	22	22	2	5
LINC01409	2	0	0	0	1	1	2	0	0
FAM87B	3	0	1	1	1	1	2	0	0
LINC00115	3	0	1	1	2	6	6	0	6
LINC01128	745	262	381	1008	492	930	784	319	320
LOC107984850	8	0	3	29	5	18	15	6	3
FAM41C	0	0	0	5	0	2	0	1	0
LOC284600	0	0	0	0	0	0	0	0	0
LINC02593	0	0	0	0	1	1	0	0	3
LOC107985728	0	1	0	0	0	1	2	2	0
SAMD11	0	4	2	0	1	0	1	0	0
NOC2L	519	679	774	764	613	565	606	470	631
KLHL17	20	23	21	27	14	42	20	15	17
PLEKHN1	5	0	2	16	9	4	7	2	0
PERM1	2620	3142	3369	2832	3342	1715	1499	1773	1618
HES4	30	26	17	33	42	17	15	13	9
ISG15	24	40	28	13	28	18	175	63	11
AGRN	56	104	65	39	115	53	95	54	64
LOC100288175	0	0	0	0	0	0	0	0	1
LOC105378948	0	0	0	0	0	1	1	0	0
RNF223	0	0	0	0	0	0	0	0	0
C1orf159	24	28	22	16	16	23	18	12	17
LINC01342	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	1	0	1	0	1	0
TTLL10	2	3	1	0	2	3	0	1	1
TNFRSF18	3	0	0	0	0	5	0	2	0
TNFRSF4	9	9	9	5	8	9	11	8	6
SDF4	686	778	690	685	727	669	605	588	548
B3GALT6	76	152	113	66	59	79	70	99	77
C1QTNF12	1	0	2	1	2	3	2	0	0
UBE2J2	246	344	383	266	284	268	259	277	325
LINC01786	18	3	3	9	2	9	13	5	1
SCNN1D	25	9	10	30	6	31	40	12	10
ACAP3	660	282	401	801	300	929	701	196	243
MIR6726	0	0	0	0	0	0	0	0	0
SNORD167	0	0	0	0	0	0	0	0	0
PUSL1	55	40	65	67	50	72	42	32	41
INTS11	742	728	901	1040	661	933	939	484	773
MIR6727	0	0	1	0	0	0	1	0	0
CPTP	379	652	721	217	897	239	339	470	349
TAS1R3	5	11	9	12	16	14	11	21	4
DVL1	3181	3938	4067	2705	3650	2980	2963	2488	3321
MIR6808	0	0	0	0	0	0	0	0	0
MXRA8	207	207	180	129	209	238	250	127	192
AURKAIP1	1140	1134	1168	785	1009	1058	887	814	916
CCNL2	1476	417	632	1580	376	2015	1525	300	415
MRPL20-AS1	66	83	73	61	70	77	51	51	49
MRPL20	799	938	905	851	746	834	634	717	730
MRPL20-DT	29	4	17	42	7	29	20	8	10
LOC107984868	1	1	2	3	3	1	0	2	2
ANKRD65	15	18	21	13	29	18	30	10	15
LOC105378585	0	0	0	2	2	6	0	1	1
TMEM88B	1	0	1	1	1	0	0	1	0
LINC01770	0	2	1	0	0	4	0	1	0
LOC107985729	0	1	0	0	0	1	0	0	0
VWA1	53	82	79	22	72	39	28	71	25
ATAD3C	2	1	3	0	0	0	6	1	0
ATAD3B	162	67	86	132	49	204	151	44	53
ATAD3A	161	206	199	233	244	162	156	144	141
TMEM240	11	7	9	16	6	12	14	4	8
SSU72	937	1150	1271	1074	1019	1259	967	1051	913
FNDC10	2	2	2	0	4	0	0	1	1
LOC105378586	0	0	0	0	0	0	0	0	0
MIB2	1613	1287	1803	1758	1379	1701	1531	1006	979
MMP23B	3	0	1	1	1	1	2	1	0
CDK11B	349	394	510	614	372	376	443	293	432
SLC35E2B	251	238	468	643	271	574	532	189	354
MMP23A	0	0	0	0	0	0	0	1	0
CDK11A	127	114	138	172	84	176	151	110	115
SLC35E2A	211	59	90	114	63	247	127	57	60
LOC112268218	0	0	0	0	0	0	0	0	0
NADK	130	105	140	156	122	154	175	87	97
GNB1	532	711	933	452	719	500	530	588	680
LOC105378949	6	6	6	8	7	9	11	4	4
CALML6	5832	1777	5707	218	655	4269	3641	1403	1862
TMEM52	2239	2154	2475	704	1420	2135	2068	1302	2099
CFAP74	1	0	1	0	4	3	2	0	1
LOC107984872	0	0	0	0	0	0	0	0	0
LOC105378589	0	1	0	0	0	0	0	0	0
GABRD	1	2	0	0	3	1	0	0	0
LOC105378590	0	0	0	0	0	1	0	0	0
LOC105378591	0	0	0	0	0	0	0	0	0
PRKCZ	2	2	1	1	2	0	0	0	1
PRKCZ-AS1	5	3	5	3	5	4	0	12	8
